Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Abreu e Lima,2600054,abreu-limense,FLAVIO VIEIRA GADELHA DE ALBUQUERQUE,126.384,98462,779.07,104248,99.09,0.679,10.53,311889181.41,308152744.46,21630.43,
Afogados da Ingazeira,2600104,afogadense,ALESANDRO PALMEIRA DE VASCONCELOS LEITE,378.031,40241,106.54,42672,98.39,0.657,24.69,216067853.44,214470901.08,16273.39,
Afr&acirc;nio,2600203,afraniense,CLOVES RAMOS DE MACEDO,1491.572,18674,12.53,19409,98.98,0.588,-,124421894.02,109062254.79,14547.92,
Agrestina,2600302,agrestinense,JOSU&Eacute; MENDES DA SILVA,200.369,23779,118.68,24680,99.31,0.592,10.61,137251224.34,127036997.96,15479.04,
&Aacute;gua Preta,2600401,&aacute;gua-pretense,ANTONIO MANOEL DA SILVA,531.936,26461,49.74,26981,99.06,0.553,11.49,146333568.98,137676911.83,9963.4,
&Aacute;guas Belas,2600500,&aacute;guas-belense,JOS&Eacute; ELTON MARTINS DE SOUZA,885.987,41548,46.89,43822,97.99,0.526,15.92,213671440.06,219542289.73,11784.85,
Alagoinha,2600609,alagoinhense,SIMAO CIRINEU DA COSTA NETO,208.545,13542,63.20,14460,98.25,0.599,29.13,80879965.85,77108674.97,14234.41,
Alian&ccedil;a,2600708,aliancense,PEDRO ERMIRIO DE ALMEIDA FREITAS FILHO,272.773,35741,131.03,37349,98.77,0.604,4.1,165520984.88,175846722.49,13218.68,
Altinho,2600807,altinense,MARIVALDO PENA,450.178,20674,45.92,21134,99.7,0.598,8.2,100081074.4,98054265.5,14608.77,
Amaraji,2600906,amarajinense,FL&Aacute;UCIO DE ARA&Uacute;JO GUIMAR&Atilde;ES,233.239,18205,78.05,18335,99.43,0.580,7.63,99650694.25,97710533.42,16906.98,
Angelim,2601003,angelinense,CARLOS HENRIQUE FIGUEIREDO LOPES LIMA,118.72,10241,86.72,10591,97.9,0.572,21.13,69165440.45,66935433.74,18258.2,
Ara&ccedil;oiaba,2601052,ara&ccedil;oiabense,CARLOS JOGLI ALBUQUERQUE TAVARES UCH&Ocirc;A,96.36,19243,199.70,19996,98.36,0.592,10.95,111568944.31,104519676.05,10555.18,
Araripina,2601102,araripinense,EVIL&Aacute;SIO MATEUS DA SILVA CARDOSO,2037.394,85088,41.76,90504,97.68,0.602,11.38,377202550.76,399934864.27,20892.65,
Arcoverde,2601201,arcoverdense,JOS&Eacute; CAVALCANTI ALVES J&Uacute;NIOR,343.923,77742,226.04,82487,99.12,0.667,11.7,327484071,317259552.36,19341.17,
Barra de Guabiraba,2601300,guabirabense,DIOGO CARLOS DE LIMA SILVA,118.639,12263,103.36,12601,97.48,0.577,-,82802652.68,72981696.67,16065.95,
Barreiros,2601409,barreirense,CARLOS ARTUR SOARES DE AVELLAR JUNIOR,233.432,40121,171.87,42083,97.92,0.586,10.64,206287775.15,206701612.34,16087.25,
Bel&eacute;m de Maria,2601508,belenense,ROBERTO PAULO DO NASCIMENTO SILVA,75.912,10378,141.88,10798,98.8,0.578,31.25,82449464.32,63580027.28,10485.13,
Bel&eacute;m do S&atilde;o Francisco,2601607,belenense,CALBY DE CARVALHO CRUZ,1830.828,18301,10.00,18648,99.34,0.642,7.19,118569601.06,114377628.13,39090.23,
Belo Jardim,2601706,belo-jardinense,GILVANDRO ESTRELA DE OLIVEIRA,647.445,79507,122.80,84033,97.1,0.629,12.57,376938631.19,342101292.22,43136.18,
Bet&acirc;nia,2601805,betaniense,ERIVALDO SEVERINO BEZERRA,1256.138,11232,9.03,11961,99.2,0.559,29.63,81493864.68,82089768.44,10773.28,
Bezerros,2601904,bezerrense,MARIA LUCIELLE SILVA LAURENTINO,497.156,61694,125.23,65007,98.53,0.606,9.52,259068932.52,242739337.99,17634.15,
Bodoc&oacute;,2602001,bodocoense,OT&Aacute;VIO AUGUSTO TAVARES PEDROSA CAVALCANTE,1621.785,34478,21.26,36145,98.53,0.565,14.89,182901907.66,178675214.97,11260.73,
Bom Conselho,2602100,conselhense,EDEZIO FERREIRA DOS SANTOS FILHO,790.774,44294,55.91,46202,98.5,0.563,14.93,230149280.29,239318617.94,18177.25,
Bom Jardim,2602209,bom-jardinense,JOAO FRANCISCO DA SILVA NETO,226.639,37629,167.91,39289,99.65,0.602,12.32,186735721.2,186482733.8,11175.35,
Bonito,2602308,bonitense,RUY BARBOSA,392.627,37474,95.31,39212,97.78,0.561,20.22,205725701.49,194606085.44,19728.56,
Brej&atilde;o,2602407,brejonense,SAULO HENRIQUE FLORENTINO DE BARROS,159.786,9079,56.82,9417,99.74,0.547,25.97,78745058.3,79570138.84,24997.01,
